time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,power
14:20:00,677.62,7.0,182,24,24,24,-1,66,66,66,0,0,0,28,28,28,66,66,66,66,66,30.06,30.06,None,0.0,0.0, -422.3222322232223
14:29:00,627.7,7.0,195,24,24,24,-1,65,65,65,0,0,0,28,28,28,65,65,65,65,65,30.06,30.05,0.6,0.0,0.0, -403.16831683168357
14:34:00,617.31,7.0,129,24,23,23,-1,68,66,67,0,0,0,30,27,28,68,67,68,66,67,30.06,30.05,-0.15,0.0,0.0, nan
14:39:00,608.13,6.0,108,24,23,23,-1,68,67,67,1,0,0,30,28,29,68,67,68,67,67,30.06,30.05,0.0,0.0,0.0, -389.2709270927089
14:44:00,582.57,6.0,87,25,24,24,-1,67,66,66,0,0,0,29,28,29,67,66,67,66,66,30.06,30.05,-0.15,0.0,0.0, -379.4779477947792
14:49:00,571.67,6.0,38,24,24,24,-1,66,66,66,1,0,1,29,28,28,66,66,66,66,66,30.05,30.04,-0.15,0.0,0.0, -370.1890189018901
14:54:00,551.37,6.0,270,25,24,24,-1,66,66,66,4,0,1,29,28,29,66,66,66,66,66,30.05,30.04,0.15,0.0,0.0, -363.49234923492304
14:59:00,531.3,6.0,115,25,23,24,-1,66,66,66,3,0,1,29,27,28,66,66,66,66,66,30.05,30.04,-0.15,0.0,0.0, nan
15:04:00,513.2,5.0,192,23,23,23,-1,68,66,67,0,0,0,29,28,28,68,67,68,66,67,30.05,30.05,0.0,0.0,0.0, -342.53825382538224
15:09:00,496.2,5.0,96,24,23,23,1,68,67,68,1,0,0,30,29,29,68,68,68,67,68,30.05,30.05,0.0,0.0,0.0, nan
15:14:00,506.59,5.0,87,24,23,23,1,67,67,67,0,0,0,29,28,29,67,67,67,67,67,30.05,30.05,0.0,0.0,0.0, -321.58415841584133
15:19:00,442.0,5.0,41,24,24,24,1,67,67,67,6,0,2,29,29,29,67,67,67,67,67,30.05,30.04,0.15,0.0,0.0, -311.7191719171914
15:24:00,422.42,4.0,358,24,24,24,1,67,66,67,0,0,0,29,29,29,67,67,67,66,67,30.06,30.04,0.0,0.0,0.0, -301.1341134113417
15:29:00,390.37,4.0,341,24,23,23,1,67,66,67,3,0,1,29,28,29,67,67,67,66,67,30.05,30.05,0.0,0.0,0.0, -288.748874887489
15:34:00,360.4,4.0,46,24,23,23,1,67,67,67,4,0,1,29,28,29,67,67,67,67,67,30.06,30.05,-0.15,0.0,0.0, -277.87578757875815
15:39:00,340.46,3.0,345,24,23,23,1,67,67,67,7,0,2,29,28,29,67,67,67,67,67,30.05,30.05,0.0,0.0,0.0, -266.2106210621062
15:44:00,351.35,4.0,100,24,23,23,1,67,67,67,3,0,1,29,28,29,67,67,67,67,67,30.05,30.04,0.0,0.0,0.0, -253.24932493249298
15:49:00,314.4,3.0,39,24,23,23,1,67,67,67,3,0,1,29,28,29,67,67,67,67,67,30.05,30.05,0.0,0.0,0.0, -239.9279927992796
15:54:00,287.12,3.0,93,24,23,23,1,68,67,67,3,2,2,29,28,29,68,67,68,67,67,30.05,30.04,0.0,0.0,0.0, -226.75067506750662
15:59:00,264.12,3.0,23,25,24,24,1,67,66,67,6,2,4,29,28,29,67,67,67,66,67,30.05,30.04,0.15,0.0,0.0, -214.29342934293413
16:04:00,244.67,2.0,24,25,24,24,1,67,66,66,6,0,1,29,28,29,67,66,67,66,66,30.06,30.04,0.15,0.0,0.0, -199.45994599459877
16:09:00,234.64,2.0,13,25,24,24,1,67,66,66,7,2,5,30,28,29,67,66,67,66,66,30.05,30.04,0.15,0.0,0.0, -185.56255625562517
16:14:00,209.93,2.0,16,25,24,24,1,66,66,66,8,6,6,29,28,29,66,66,66,66,66,30.05,30.04,0.15,0.0,0.0, -171.5211521152114
16:19:00,183.02,2.0,42,25,24,24,1,66,66,66,4,1,3,30,28,29,66,66,66,66,66,30.05,30.05,0.0,0.0,0.0, -156.68766876687664
